,code,name
270,4146152500,역북동
271,4713025300,안강읍
272,4128758000,송포동
273,4711352000,중앙동
274,2817757000,용현5동
275,3014057500,대흥동
276,4111566000,매산동
277,4511153000,풍남동
278,2823751000,부평1동
279,4817051500,천전동
280,4471025000,금산읍
281,3120051000,농소1동
282,4824025000,사천읍
283,4514061000,모현동
284,4139059300,정왕3동
285,1150054000,화곡1동
286,4418053500,대천3동
287,4812131000,북면
288,4136054500,다산1동
289,4825061000,장유1동
290,4315052800,중앙동
291,4275025000,영월읍
292,4155052000,안성2동
293,4719068000,진미동
294,4157051500,김포본동
295,3020055000,신성동
296,4420036000,둔포면
297,4511169200,평화2동
298,4413356600,불당1동
299,1171062000,가락본동
300,4514065600,신동
301,4139058900,정왕본동
302,2711054500,삼덕동
303,1135064000,상계2동
304,1117065000,이태원1동
305,2820051000,구월1동
306,1174061000,천호2동
307,4511357000,덕진동
308,3611052000,도담동
309,4113562000,야탑1동
310,4161056000,광남1동
311,4213033000,지정면
312,4812759000,합성2동
313,4729055000,북부동
314,4413157000,신방동
315,2671025900,일광읍
316,4613080000,여천동
317,4833054000,서창동
318,4273025000,횡성읍
319,1165065100,양재1동
320,4511171400,효자4동
321,4119061000,중동
322,4150052000,중리동
323,4146151000,중앙동
324,4580025000,부안읍
325,4717065000,옥동
326,3014053500,은행선화동
327,4713063000,동천동
328,4311253000,사창동
329,4511361200,우아2동
330,4150051500,증포동
331,4617062000,빛가람동
332,4111367000,권선1동
333,4159052000,진안동
334,4122025000,팽성읍
335,2638060100,다대1동
336,2771026500,현풍읍
337,4146551000,풍덕천1동
338,3111058500,중앙동
339,3171025000,온산읍
340,2871025000,강화읍
341,3017056000,괴정동
342,1154567000,시흥1동
343,5013025300,남원읍
344,4812553000,월영동
345,2726064000,두산동
346,2650066000,남천1동
347,4421051000,부춘동
348,4122063000,비전2동
349,1171056200,방이2동
350,4313062500,칠금.금릉동
351,4831057000,장평동
352,4111755000,원천동
353,1138069000,진관동
354,4146352000,구갈동
355,4374025000,영동읍
356,1123065000,장안1동
357,1147051000,목1동
358,1168065000,역삼2동
359,4145053000,신장2동
360,4513071000,소룡동
361,4311376000,강서1동
362,4311374200,복대2동
363,4817067300,상대동
364,2635055100,좌1동
365,4117355000,관양1동
366,4611055800,원산동
367,4113555000,정자1동
368,4165051000,포천동
369,4613071000,문수동
370,4141062000,광정동
371,4413358000,부성1동
372,4139054000,은행동
373,4128553000,정발산동
374,4128158000,창릉동
375,4511356000,인후3동
376,2811062200,영종1동
377,4159036000,팔탄면
378,1165058100,반포4동
379,1144068000,합정동
380,3117051000,방어동
381,4128153000,흥도동
382,4311259000,성화.개신.죽림동
383,4785025600,석적읍
384,2632054300,화명3동
385,4150034000,마장면
386,4817055500,성북동
387,4827052000,내이동
388,1153053000,구로2동
389,4148056000,운정2동
390,4313053500,교현.안림동
391,4180025300,전곡읍
392,1156060500,문래동
393,1135059500,공릉1동
394,4671025000,담양읍
395,2823759200,청천2동
396,4421053500,동문2동
397,4715057500,대신동
398,1120066000,성수1가2동
399,4311255000,산남동
400,4579025000,고창읍
401,4157054000,사우동
402,4571025300,봉동읍
403,1114054000,회현동
404,2611051000,중앙동
405,4111366200,금곡동
406,4146136000,양지면
407,2824561400,계산4동
408,4117151000,안양1동
409,1171058000,송파1동
410,2820071000,논현고잔동
411,4128757000,대화동
412,4427038000,신평면
413,4418056500,대천5동
414,2771025000,화원읍
415,4680025000,장흥읍
416,1144065500,서강동
417,2626054500,명륜동
418,2914075200,상무2동
419,4161025300,초월읍
420,4215057100,포남1동
421,3023054600,중리동
422,1165052000,서초2동
423,4719025300,고아읍
424,2723063000,산격3동
425,2729062500,상인2동
426,4413325000,성환읍
427,4183040000,용문면
428,2824561100,계산1동
429,4182032500,청평면
430,1130554500,송중동
431,4711154500,해도동
432,2729060100,월성1동
433,4413354000,쌍용2동
434,4833051500,양주동
435,4127361000,대부동
436,1153056000,구로5동
437,3611051500,새롬동
438,2714062000,불로.봉무동
439,4420059000,온양3동
440,4111158000,영화동
441,4213025000,문막읍
442,1123053600,용신동
443,1129057500,동선동
444,1168059000,삼성2동
445,4157034000,대곶면
446,1114060500,을지로동
447,2826054200,가정1동
448,1123054500,제기동
449,4111355000,평동
450,1114059000,광희동
451,4221058000,조양동
452,1147065000,신정4동
453,4518051000,수성동
454,2632056000,덕천2동
455,4518053500,내장상동
456,2917069600,양산동
457,2714058000,신천4동
458,1154561000,독산1동
459,4413151000,중앙동
460,1141061500,연희동
461,4182031000,설악면
462,4278025900,동송읍
463,2647069000,연산5동
464,2635065000,재송1동
465,3020057000,전민동
466,4128555100,백석1동
467,4111753000,매탄3동
468,4719053500,원평동
469,2629057000,용호1동
470,4146556000,동천동
471,4711158000,효곡동
472,4159061000,동탄7동
473,4111369000,곡선동
474,4139059200,정왕2동
475,4167025000,가남읍
476,4613025000,돌산읍
477,4146359000,보정동
478,2811063000,용유동
479,4713025900,외동읍
480,2817754000,용현1.4동
481,1111065000,혜화동
482,1165053100,서초4동
483,4425031500,엄사면
484,1174066000,성내3동
485,3171025600,온양읍
486,4377025000,음성읍
487,3111060000,태화동
488,4514069000,삼성동
489,4167052000,중앙동
490,2920064000,하남동
491,4514064600,영등1동
492,1123066000,장안2동
493,4146357500,동백2동
494,4125056600,송내동
495,4615066500,왕조2동
496,4413356000,백석동
497,4777031000,강구면
498,4213051500,중앙동
499,2920070000,신창동
500,2626055000,온천1동
501,4713062100,황성동
502,2823769000,십정2동
503,4119075000,소사본동
504,4413125000,목천읍
505,4421055000,석남동
506,4721062000,가흥1동
507,4812355000,가음정동
508,4146125600,이동읍
509,4673025000,구례읍
510,1171071000,잠실6동
511,4833031000,동면
512,4141051000,군포1동
513,4159025600,우정읍
514,1126065500,망우본동
515,2714076000,공산동
516,4623054000,광영동
517,5011067000,외도동
518,4413353000,쌍용1동
519,1129060000,안암동
520,4113552000,수내1동
521,1144069000,망원1동
522,4136052000,평내동
523,4825059000,삼안동
524,4511364200,송천2동
525,2811052000,연안동
526,4613070000,여서동
527,4822070000,무전동
528,2811053000,신포동
529,3020054800,노은3동
530,4833056000,평산동
531,4511366500,여의동
532,2641067000,남산동
533,5013057000,동홍동
534,4211067500,강남동
535,3017058200,갈마2동
536,4117361000,범계동
537,4421025000,대산읍
538,4817056500,중앙동
539,1138062500,역촌동
540,4111156600,율천동
541,1165051000,서초1동
542,4681025000,강진읍
543,4163025000,백석읍
544,2920056500,어룡동
545,4827053000,삼문동
546,2820070000,논현2동
547,3120054000,강동동
548,4281032000,북면
549,1121585000,구의1동
550,2611058000,남포동
551,4167053000,오학동
552,4812354000,사파동
553,2650077000,광안2동
554,4521051000,요촌동
555,4812565000,산호동
556,1168061000,대치2동
557,4157025300,고촌읍
558,4377033000,맹동면
559,1132069000,방학1동
560,4131052000,동구동
561,4513070300,나운3동
562,4711369000,두호동
563,1138057000,대조동
564,2620053000,남항동
565,4280025000,양구읍
566,4315059000,청전동
567,4519059000,도통동
568,4311152500,중앙동
569,5013061000,중문동
570,5011058000,용담2동
571,4221060000,대포동
572,4148035000,광탄면
573,4480025600,홍북읍
574,4157058000,운양동
575,4719025600,산동읍
576,4613057000,중앙동
577,1162069500,신림동
578,4511358000,금암1동
579,2647068000,연산4동
580,4211039000,동내면
581,4719064500,상모사곡동
582,3171026500,삼남읍
583,2638055000,당리동
584,2723069500,무태조야동
585,1150063000,방화1동
586,4163034000,장흥면
587,1150059100,화곡6동
588,4376025000,괴산읍
589,4127158000,월피동
590,3017058600,월평1동
591,4145062000,미사2동
592,4127351000,와동
593,4611080000,부흥동
594,4420033000,탕정면
595,4221054000,금호동
596,4822055000,중앙동
597,2611056000,부평동
598,3017059300,도안동
599,3114051000,신정1동
600,4313051500,성내.충인동
601,2729055500,감삼동
602,4677025300,도양읍
603,3017063000,둔산1동
604,1126059000,상봉2동
605,4711125300,연일읍
606,2723078000,동천동
607,1141056500,충현동
608,4613065500,대교동
609,4117356600,부림동
610,4131058000,수택2동
611,1121584700,자양4동
612,5013059000,대륜동
613,4150025000,장호원읍
614,4571033000,이서면
615,4148026200,조리읍
616,4723051000,동부동
617,4217053000,북삼동
618,2826057500,신현원창동
619,4817069500,초장동
620,4413351000,성정1동
621,2917066900,일곡동
622,4713057000,황남동
623,4690025000,진도읍
624,4380025000,단양읍
625,1162058500,낙성대동
626,2632051000,구포1동
627,3023051000,오정동
628,4159060000,동탄6동
629,2871033000,길상면
630,4873025000,가야읍
631,1156055000,당산1동
632,5011031000,한경면
633,1117053000,남영동
634,4611051000,용당1동
635,4513065000,조촌동
636,2820069000,논현1동
637,4785025300,북삼읍
638,4159035000,서신면
639,5011060000,화북동
640,4887025000,함양읍
641,2617066000,범일2동
642,3023055000,신탄진동
643,4115059500,가능동
644,2653059100,모라1동
645,2623061000,전포2동
646,4427032000,석문면
647,4812754500,석전동
648,4111356000,서둔동
649,4677025000,고흥읍
650,2714075500,혁신동
651,1153055000,구로4동
652,2620065000,동삼1동
653,4146351000,신갈동
654,2818576200,연수2동
655,2717065000,평리4동
656,2826056000,석남2동
657,3111062000,병영1동
658,3023054300,송촌동
659,4127154000,본오1동
660,4824055000,벌용동
661,4125056500,불현동
662,3017052000,도마1동
663,2644054500,명지2동
664,4377034000,대소면
665,4831055000,옥포1동
666,4717051000,중구동
667,4482525300,안면읍
668,1114057000,필동
669,4145056000,덕풍3동
670,1111063000,종로5.6가동
671,4127156000,본오3동
672,4831054000,아주동
673,1123056000,전농1동
674,4127354500,원곡동
675,4155053000,안성3동
676,4728061000,점촌5동
677,1138055100,갈현1동
678,4717055500,용상동
679,4511170300,삼천3동
680,1129055500,삼선동
681,4283025000,양양읍
682,5011053000,이도1동
683,4713065000,불국동
684,2826055000,석남1동
685,4784025000,성주읍
686,4721060000,휴천2동
687,2617053000,초량3동
688,4420057000,온양1동
689,4615055000,삼산동
690,2626075000,안락2동
691,4143056000,청계동
692,1138060000,응암3동
693,4113354000,금광2동
694,4418051500,대천1동
695,3117052000,일산동
696,4276038000,대관령면
697,1120053500,왕십리도선동
698,2629051000,대연1동
699,4148052000,금촌2동
700,4711125000,구룡포읍
701,4684025000,무안읍
702,1121573000,군자동
703,3114052000,신정2동
704,2817762000,주안1동
705,4121065500,일직동
706,3020052000,진잠동
707,3011053000,효동
708,4215064500,성덕동
709,4874025000,창녕읍
710,2771025300,논공읍
711,4163033000,광적면
712,3011051500,중앙동
713,4513053000,월명동
714,4111758000,영통2동
715,4113567000,구미동
716,2818563000,옥련1동
717,2818576600,청학동
718,4514065200,어양동
719,2920052500,송정2동
720,4479025000,청양읍
721,2771025900,유가읍
722,2917060100,운암1동
723,2826072000,오류왕길동
724,4145057000,풍산동
725,2723079000,노원동
726,4128754500,탄현1동
727,4831056000,옥포2동
728,3120057000,송정동
729,4415054000,웅진동
730,2917069500,건국동
731,4833034000,하북면
732,4215054000,옥천동
733,2650076000,광안1동
734,4375025300,덕산읍
735,3020054600,노은1동
736,3017058100,갈마1동
737,1165054000,잠원동
738,1162073500,대학동
739,1159063000,사당2동
740,2650073000,수영동
741,4113565700,백현동
742,1120067000,성수2가1동
743,2720058600,대명3동
744,4146125300,모현읍
745,4812958000,석동
746,1138055200,갈현2동
747,2915570500,진월동
748,3011056000,용운동
749,2635057000,반여1동
750,4817075000,충무공동
751,4146353500,보라동
752,2641060000,장전1동
753,1135063000,상계1동
754,4278025600,갈말읍
