,code,name
0,Q01,한식
1,Q12,커피점/카페
2,Q09,유흥주점
3,Q04,분식
4,Q03,일식/수산물
5,Q05,닭/오리요리
6,Q07,패스트푸드
7,Q08,제과제빵떡케익
8,Q06,양식
9,Q02,중식
10,Q10,별식/퓨전요리
11,Q14,기타음식업
12,Q15,부페
13,Q13,음식배달서비스
